epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,718.594,0.97612,2.04033,1.01353,0.30499,0.27414,0.25232,0.21718,0.95601,2.64698,1.00128,7.878e-05,7.878e-05,7.878e-05
42,732.84,0.94543,1.96631,1.0042,0.50787,0.26161,0.27114,0.23078,0.98819,2.62379,1.01099,7.68495e-05,7.68495e-05,7.68495e-05
43,746.706,0.93309,1.93989,0.99499,0.43021,0.27099,0.306,0.25921,0.99212,2.56629,1.01608,7.4919e-05,7.4919e-05,7.4919e-05
44,760.345,0.93799,1.90729,0.99592,0.39597,0.295,0.2903,0.25377,0.98259,2.57046,1.01451,7.29885e-05,7.29885e-05,7.29885e-05
45,774.08,0.96556,1.95798,1.00738,0.35583,0.32489,0.2913,0.25641,0.98745,2.54544,1.01081,7.1058e-05,7.1058e-05,7.1058e-05
46,787.87,0.92095,1.87174,0.99599,0.39742,0.26746,0.26511,0.23399,0.96316,2.72203,1.00779,6.91275e-05,6.91275e-05,6.91275e-05
47,802.099,0.93745,1.8752,1.00077,0.34127,0.2518,0.22164,0.19169,0.99654,2.72059,1.02118,6.7197e-05,6.7197e-05,6.7197e-05
48,835.125,0.90618,1.81625,0.9898,0.37131,0.30363,0.25872,0.2168,0.98748,2.57551,1.02436,6.52665e-05,6.52665e-05,6.52665e-05
49,866.571,0.95207,1.8906,1.00424,0.363,0.26139,0.262,0.22469,0.95685,2.63008,1.00679,6.3336e-05,6.3336e-05,6.3336e-05
50,899.051,0.92429,1.81216,0.98764,0.32259,0.32189,0.28695,0.25166,0.98761,2.551,1.01485,6.14055e-05,6.14055e-05,6.14055e-05
51,931.673,0.93831,1.85484,1.00438,0.47336,0.2255,0.25379,0.22676,0.97687,2.67573,1.00954,5.9475e-05,5.9475e-05,5.9475e-05
52,949.566,0.93263,1.77417,0.99239,0.34324,0.24233,0.23423,0.20158,0.9995,2.66832,1.04343,5.75445e-05,5.75445e-05,5.75445e-05
53,963.479,0.89428,1.75886,0.9881,0.26431,0.23982,0.20839,0.18316,1.00533,2.68155,1.03201,5.5614e-05,5.5614e-05,5.5614e-05
54,987.473,0.91984,1.76865,0.99114,0.31621,0.27206,0.24728,0.21049,0.98135,2.64767,1.01324,5.36835e-05,5.36835e-05,5.36835e-05
55,1009.87,0.92722,1.79402,0.99245,0.26865,0.23336,0.23348,0.19966,0.97347,2.66141,1.01256,5.1753e-05,5.1753e-05,5.1753e-05
56,1023.89,0.92123,1.71597,0.98802,0.38339,0.28734,0.25376,0.21098,0.99783,2.61791,1.02026,4.98225e-05,4.98225e-05,4.98225e-05
57,1037.56,0.90124,1.74003,0.98245,0.47059,0.24082,0.25991,0.21978,0.96867,2.68139,1.0181,4.7892e-05,4.7892e-05,4.7892e-05
58,1059,0.92237,1.73609,0.98069,0.32596,0.30002,0.28534,0.24444,1.00354,2.69089,1.02891,4.59615e-05,4.59615e-05,4.59615e-05
59,1091.88,0.88696,1.66985,0.97746,0.31093,0.27619,0.25892,0.22208,0.97905,2.66476,1.00431,4.4031e-05,4.4031e-05,4.4031e-05
60,1125.38,0.90455,1.69932,0.97824,0.27591,0.27812,0.25763,0.22303,1.00389,2.7305,1.0289,4.21005e-05,4.21005e-05,4.21005e-05
61,1142.33,0.90605,1.71126,0.98201,0.29945,0.26487,0.27345,0.23942,0.95698,2.70877,1.01892,4.017e-05,4.017e-05,4.017e-05
62,1157.83,0.87775,1.65432,0.97459,0.40314,0.22408,0.26338,0.22067,0.97952,2.69413,1.02356,3.82395e-05,3.82395e-05,3.82395e-05
63,1172.11,0.88532,1.67046,0.97253,0.52397,0.20151,0.26238,0.21919,0.96948,2.71561,1.0167,3.6309e-05,3.6309e-05,3.6309e-05
64,1187.15,0.90533,1.65972,0.98002,0.2944,0.26632,0.23576,0.20464,0.96436,2.75327,1.00502,3.43785e-05,3.43785e-05,3.43785e-05
65,1200.86,0.87568,1.64929,0.96962,0.4449,0.24813,0.24829,0.2149,0.95181,2.71478,0.99877,3.2448e-05,3.2448e-05,3.2448e-05
66,1224.54,0.89957,1.64271,0.9802,0.45612,0.24605,0.2507,0.22161,0.95931,2.67142,1.00172,3.05175e-05,3.05175e-05,3.05175e-05
67,1256.44,0.90772,1.6522,0.97954,0.22435,0.31952,0.25916,0.22381,0.97364,2.69734,1.0074,2.8587e-05,2.8587e-05,2.8587e-05
68,1289.98,0.86896,1.63212,0.97197,0.27859,0.26382,0.25026,0.21145,0.97453,2.70459,1.00438,2.66565e-05,2.66565e-05,2.66565e-05
69,1322.67,0.90159,1.64636,0.98106,0.31675,0.29297,0.25607,0.21822,1.00714,2.69122,1.01779,2.4726e-05,2.4726e-05,2.4726e-05
70,1355.88,0.87901,1.6422,0.98068,0.40229,0.24596,0.26123,0.22727,1.0026,2.73354,1.02113,2.27955e-05,2.27955e-05,2.27955e-05
71,1412.01,0.82194,1.85666,0.92819,0.40512,0.18969,0.22871,0.19993,1.05244,2.85041,1.02807,2.0865e-05,2.0865e-05,2.0865e-05
72,1443.04,0.79926,1.7065,0.93174,0.21892,0.27179,0.21861,0.194,1.05432,2.91391,1.03721,1.89345e-05,1.89345e-05,1.89345e-05
73,1475.5,0.8162,1.699,0.92783,0.22481,0.27051,0.21759,0.1899,1.06946,2.91099,1.04363,1.7004e-05,1.7004e-05,1.7004e-05
74,1507.15,0.80622,1.66705,0.92423,0.29512,0.24959,0.2365,0.20562,1.05448,2.87789,1.03351,1.50735e-05,1.50735e-05,1.50735e-05
75,1539.86,0.79256,1.63581,0.92424,0.30281,0.26358,0.22942,0.19605,1.04536,2.8805,1.03326,1.3143e-05,1.3143e-05,1.3143e-05
76,1564.86,0.78894,1.61336,0.91763,0.30107,0.24967,0.22136,0.19187,1.03613,2.90093,1.02754,1.12125e-05,1.12125e-05,1.12125e-05
77,1593.2,0.79368,1.58728,0.92386,0.30393,0.25272,0.23309,0.20377,1.03594,2.86295,1.0303,9.282e-06,9.282e-06,9.282e-06
78,1625.63,0.79721,1.60406,0.92402,0.2599,0.26084,0.2207,0.1915,1.03661,2.88358,1.02516,7.3515e-06,7.3515e-06,7.3515e-06
79,1657.02,0.77336,1.56266,0.91926,0.28997,0.22214,0.21282,0.18959,1.0298,2.89926,1.02267,5.421e-06,5.421e-06,5.421e-06
80,1688.76,0.79483,1.6053,0.92316,0.33931,0.25431,0.2167,0.19144,1.03081,2.88938,1.02443,3.4905e-06,3.4905e-06,3.4905e-06
